ST_CASE,StateName,CountyName,CityName,Latitude,Longitude
131306,Georgia,ROCKDALE (247),CONYERS,33.71036111,-84.00398056
131308,Georgia,WARE (299),WAYCROSS,31.18802778,-82.39113889
131309,Georgia,CLAYTON (63),JONESBORO,33.54629722,-84.36914444
131310,Georgia,CLARKE (59),ATHENS,33.91829444,-83.32329722
131311,Georgia,RICHMOND (245),AUGUSTA,33.515,-82.06206389
131312,Georgia,EMANUEL (107),TWIN CITY,32.60211944,-82.13495556
131313,Georgia,HOUSTON (153),WARNER ROBINS,32.55564167,-83.69121389
131314,Georgia,FULTON (121),COLLEGE PARK,33.5965,-84.46903333
131315,Georgia,CLAYTON (63),JONESBORO,33.56827778,-84.37153889
131316,Georgia,COBB (67),MARIETTA,33.89329722,-84.46239444
131317,Georgia,WALTON (297),MONROE,33.80633611,-83.78658056
131318,Georgia,SCREVEN (251),SYLVANIA,32.72918889,-81.65401389
131319,Georgia,BANKS (11),HOMER,34.27158611,-83.46644444
131320,Georgia,CHATHAM (51),POOLER,32.08909722,-81.23771389
131321,Georgia,GLYNN (127),BRUNSWICK,31.14870833,-81.49651389
131323,Georgia,THOMAS (275),THOMASVILLE,30.85897778,-83.94753056
131324,Georgia,FORSYTH (117),CUMMING,34.28115833,-84.17335556
131325,Georgia,HALL (139),NOT APPLICABLE,34.46993056,-83.77496389
131326,Georgia,COFFEE (69),DOUGLAS,31.43730833,-82.85068611
131327,Georgia,FULTON (121),ATLANTA,33.74151111,-84.41069167
131328,Georgia,CHATHAM (51),SAVANNAH,32.0495,-81.14350556
131329,Georgia,WEBSTER (307),WESTON,31.95243889,-84.58258056
131330,Georgia,PAULDING (223),HIRAM,33.86119167,-84.72981944
131331,Georgia,RICHMOND (245),AUGUSTA,33.51629444,-82.00419444
131332,Georgia,CHATHAM (51),Other,32.00527222,-81.27446667
131333,Georgia,FULTON (121),ATLANTA,33.65398056,-84.56509722
131334,Georgia,TOWNS (281),HIAWASSEE,34.91460833,-83.72721667
131336,Georgia,DOUGLAS (97),DOUGLASVILLE,33.77293056,-84.70397222
131337,Georgia,LAMAR (171),BARNESVILLE,33.08890556,-84.15389444
131338,Georgia,FULTON (121),COLLEGE PARK,33.61796389,-84.4729
131339,Georgia,CARROLL (45),WHITESBURG,33.52644167,-84.9795
131340,Georgia,MURRAY (213),NOT APPLICABLE,34.76133056,-84.79605278
131341,Georgia,COLUMBIA (73),NOT APPLICABLE,33.49668611,-82.31615833
131342,Georgia,FULTON (121),COLLEGE PARK,33.614775,-84.49756389
131343,Georgia,BUTTS (35),NOT APPLICABLE,33.28131111,-84.04323889
131344,Georgia,COLUMBIA (73),NOT APPLICABLE,33.48722222,-82.2159
131345,Georgia,FLOYD (115),NOT APPLICABLE,34.208725,-85.04991389
131346,Georgia,UNION (291),NOT APPLICABLE,34.78388333,-83.93481111
131347,Georgia,FULTON (121),COLLEGE PARK,33.62573889,-84.47577222
131348,Georgia,JEFF DAVIS (161),NOT APPLICABLE,31.78068333,-82.72973056
131349,Georgia,WALTON (297),NOT APPLICABLE,33.71948333,-83.85235
131350,Georgia,CLAYTON (63),RIVERDALE,33.57334444,-84.40323611
131351,Georgia,CHEROKEE (57),NOT APPLICABLE,34.19845,-84.30603333
131352,Georgia,MUSCOGEE (215),COLUMBUS,32.45978333,-84.97249167
131353,Georgia,TROUP (285),LA GRANGE,33.11678611,-85.08801389
131354,Georgia,FANNIN (111),MCCAYSVILLE,34.98515278,-84.38564444
131355,Georgia,FULTON (121),ATLANTA,33.78624444,-84.40752222
131356,Georgia,TERRELL (273),SASSER,31.72484167,-84.33976389
131357,Georgia,CANDLER (43),METTER,32.41927778,-82.039625
131360,Georgia,DEKALB (89),NOT APPLICABLE,33.88006111,-84.27161111
131361,Georgia,DEKALB (89),CHAMBLEE,33.86343056,-84.29055278
131363,Georgia,MONTGOMERY (209),HIGGSTON,32.22112222,-82.47072778
131364,Georgia,HALL (139),GAINESVILLE,34.32608611,-83.81489167
131365,Georgia,CANDLER (43),METTER,32.39781944,-82.06863056
131366,Georgia,CLAYTON (63),NOT APPLICABLE,33.62728611,-84.29410556
131368,Georgia,DECATUR (87),NOT APPLICABLE,30.84341667,-84.53778611
131369,Georgia,DECATUR (87),NOT APPLICABLE,31.04611389,-84.65256944
131370,Georgia,FLOYD (115),ROME,34.26623889,-85.18907778
131371,Georgia,WEBSTER (307),PRESTON,32.08839167,-84.52443611
131372,Georgia,TELFAIR (271),LUMBER CITY,31.92846944,-82.68114722
131373,Georgia,TIFT (277),NOT APPLICABLE,31.42876667,-83.47354722
131374,Georgia,PICKENS (227),NOT APPLICABLE,34.52706944,-84.50900556
131375,Georgia,HARALSON (143),NOT APPLICABLE,33.85509444,-85.28121111
131376,Georgia,WHITFIELD (313),NOT APPLICABLE,34.73078333,-85.04223889
131377,Georgia,GWINNETT (135),NORCROSS,33.93230278,-84.22238056
131378,Georgia,COLQUITT (71),MOULTRIE,31.17679167,-83.76268056
131379,Georgia,EVANS (109),NOT APPLICABLE,32.21957778,-81.91944444
131380,Georgia,CHATTOOGA (55),NOT APPLICABLE,34.39228056,-85.42090556
131381,Georgia,FORSYTH (117),Other,34.14068611,-84.23151111
131382,Georgia,COBB (67),MARIETTA,33.97991111,-84.55510833
131383,Georgia,TIFT (277),TIFTON,31.47339167,-83.52040556
131384,Georgia,RICHMOND (245),AUGUSTA,33.37308611,-82.03188889
131385,Georgia,FULTON (121),ATLANTA,33.69501111,-84.40558333
131386,Georgia,FULTON (121),ATLANTA,33.74356667,-84.34925833
131387,Georgia,FULTON (121),ATLANTA,33.74525833,-84.38820556
131388,Georgia,WARREN (301),NOT APPLICABLE,33.31138333,-82.60336389
131389,Georgia,HALL (139),NOT APPLICABLE,34.14393056,-83.98156944
131390,Georgia,MACON (193),Not Reported,32.4398,-83.88380556
131391,Georgia,COBB (67),NOT APPLICABLE,33.84428056,-84.49994167
131392,Georgia,CARROLL (45),NOT APPLICABLE,33.52730833,-84.98228889
131393,Georgia,MUSCOGEE (215),COLUMBUS,32.49628611,-84.95456944
131394,Georgia,CHARLTON (49),NOT APPLICABLE,30.84203889,-81.907025
131395,Georgia,MITCHELL (205),SALE CITY,31.24174167,-84.05406389
131396,Georgia,SPALDING (255),NOT APPLICABLE,33.25005278,-84.47022222
131397,Georgia,BARROW (13),STATHAM,33.97297222,-83.61191389
131398,Georgia,COWETA (77),NEWNAN,33.3869,-84.85039167
131399,Georgia,RICHMOND (245),AUGUSTA,33.39461111,-82.00526111
131400,Georgia,CATOOSA (47),RINGGOLD,34.97085,-85.19355556
131401,Georgia,WHITE (311),NOT APPLICABLE,34.51175,-83.74244444
131402,Georgia,LAURENS (175),DUBLIN,32.54668333,-82.86904444
131403,Georgia,STEPHENS (257),TOCCOA,34.4755,-83.38536389
131404,Georgia,WEBSTER (307),PRESTON,32.03746389,-84.55171389
131405,Georgia,BURKE (33),GIRARD,33.05388889,-81.72381667
131406,Georgia,SPALDING (255),GRIFFIN,33.25576667,-84.26233889
131407,Georgia,COOK (75),SPARKS,31.15520556,-83.43036111
131408,Georgia,HART (147),HARTWELL,34.35051944,-82.90182222
131409,Georgia,CANDLER (43),Other,32.3726,-82.14932778
131410,Georgia,BUTTS (35),JACKSON,33.29133056,-84.01521944
131411,Georgia,HALL (139),Other,34.16905278,-83.807025
131412,Georgia,DEKALB (89),PANTHERSVILLE,33.69989722,-84.2544
131414,Georgia,COBB (67),MARIETTA,33.97691389,-84.54876111
